province,U_R,COICOP,Products,Weight,Date,CPI,Source
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2014,105.8985514,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2014,106.1343534,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2014,104.8438208,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2014,101.4363421,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2014,98.73160465,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2015,96.61716778,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2015,98.97814885,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2015,103.0892586,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2015,107.540288,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2015,107.3542212,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2015,105.6364219,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2015,104.5692887,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2015,108.2320844,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2015,111.5509401,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2015,115.5105967,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2015,116.581804,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2015,111.6329454,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2016,108.9251858,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2016,109.8796839,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2016,113.3966926,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2016,114.483962,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2016,114.2206869,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2016,116.6574983,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,7/1/2016,119.5463126,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,8/1/2016,122.5850576,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,9/1/2016,126.5264244,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,10/1/2016,134.4922322,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,11/1/2016,135.6146721,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,12/1/2016,134.9115833,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,1/1/2017,132.7889363,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,2/1/2017,136.7587146,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,3/1/2017,140.1456185,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,4/1/2017,141.2744107,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,5/1/2017,137.8891135,rwanda
0,0,1,Food and non-alcoholic beerages,3903.542834,6/1/2017,133.4942479,rwanda
